Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,League,Country
Cristiano Ronaldo,99,LW,TOTY,0,5,4,H \ L,98,99,92,98,50,94,"185cm | 6'0""",288,531,2399,Real Madrid,LaLiga Santander ,Portugal
Cristiano Ronaldo,99,LW,TOTS,2.85M,5,4,H \ L,98,99,91,99,48,92,"185cm | 6'0""",72,527,2387,Real Madrid,LaLiga Santander ,Portugal
Messi,99,RW,TOTS,2.95M,4,4,M \ M,97,99,98,99,45,82,"170cm | 5'6""",134,520,2401,FC Barcelona,LaLiga Santander ,Argentina
Messi,98,RW,TOTY,2.56M,4,4,M \ M,97,99,97,99,45,80,"170cm | 5'6""",212,517,2391,FC Barcelona,LaLiga Santander ,Argentina
Suárez,98,ST,TOTY,2.64M,4,4,H \ M,93,99,92,97,60,93,"182cm | 5'11""",121,534,2445,FC Barcelona,LaLiga Santander ,Uruguay
Neuer,98,GK,TOTY,938K,1,4,M \ M,96,97,99,96,70,99,"193cm | 6'3""",69,557,1061,FC Bayern,Bundesliga,Germany
Cristiano Ronaldo,98,LW,RB,1.94M,5,4,H \ L,96,97,90,96,42,88,"185cm | 6'0""",53,509,2337,Real Madrid,LaLiga Santander ,Portugal
Cristiano Ronaldo,98,ST,CMOTM,3.6M,5,4,H \ L,96,97,90,96,42,88,"185cm | 6'0""",58,509,2337,Real Madrid,LaLiga Santander ,Portugal
Hazard,98,LW,TOTS,723K,4,4,H \ M,98,96,96,99,50,84,"173cm | 5'8""",86,523,2413,Chelsea,Premier League,Belgium
Lewandowski,98,ST,TOTS,636K,3,4,M \ M,89,99,93,98,57,97,"185cm | 6'0""",44,533,2430,FC Bayern,Bundesliga,Poland
Neymar,98,LW,TOTS,2.2M,5,5,H \ M,97,98,97,99,48,83,"174cm | 5'8""",98,522,2436,FC Barcelona,LaLiga Santander ,Brazil
Higuaín,98,ST,TOTS,480K,3,4,H \ M,89,99,91,98,50,96,"184cm | 6'0""",21,434,2326,Juventus,Calcio A,Argentina
Cristiano Ronaldo,97,LW,TIF,1.5M,5,4,H \ L,95,96,87,95,40,86,"185cm | 6'0""",35,499,2295,Real Madrid,LaLiga Santander ,Portugal
Neymar,97,LW,TIF,940K,5,5,H \ M,96,93,92,99,42,77,"174cm | 5'8""",54,499,2329,FC Barcelona,LaLiga Santander ,Brazil
Ibrahimovic,97,ST,TOTS,1.14M,4,4,M \ L,82,99,96,97,52,98,"195cm | 6'4""",55,524,2383,Manchester Utd,Premier League,Sweden
Neuer,97,GK,TOTS,405K,1,4,M \ M,94,95,98,94,67,97,"193cm | 6'3""",9,545,1055,FC Bayern,Bundesliga,Germany
Suárez,97,ST,TOTS,969K,4,4,H \ M,87,98,91,95,55,91,"182cm | 5'11""",12,517,2394,FC Barcelona,LaLiga Santander ,Uruguay
Neymar,97,LW,FIF,1.83M,5,5,H \ M,96,94,93,98,41,78,174,-5,0,2336,PSG,Ligue 1,Brazil
Messi,97,ST,SIF,3M,4,4,M \ M,93,97,95,99,40,77,170,16,0,2340,FC Barcelona,LaLiga Santander ,Argentina
Cristiano Ronaldo,96,ST,SIF,1.85M,5,4,H \ L,94,94,85,94,37,84,"185cm | 6'0""",92,488,2249,Real Madrid,LaLiga Santander ,Portugal
Modric,96,CM,TOTY,795K,4,4,H \ M,80,85,96,97,83,80,"174cm | 5'8""",46,521,2437,Real Madrid,LaLiga Santander ,Croatia
Sergio Ramos,96,CB,TOTY,790K,3,3,H \ M,85,77,86,87,97,96,"183cm | 6'0""",58,528,2454,Real Madrid,LaLiga Santander ,Spain
Neymar,96,LW,SIF,550K,5,5,H \ M,95,92,91,99,40,74,"174cm | 5'8""",54,491,2292,FC Barcelona,LaLiga Santander ,Brazil
Messi,96,CAM,Hero,3.05M,4,4,M \ M,92,95,91,99,35,71,"170cm | 5'6""",136,483,2260,FC Barcelona,LaLiga Santander ,Argentina
Godín,96,CB,TOTS,219K,2,3,M \ H,73,68,85,82,98,96,"185cm | 6'0""",6,502,2306,Atlético Madrid,LaLiga Santander ,Uruguay
Isco,96,CM,TOTS,775K,4,3,H \ M,84,97,98,98,65,90,"176cm | 5'9""",28,532,2483,Real Madrid,LaLiga Santander ,Spain
Chiellini,96,CB,TOTS,127K,2,2,L \ H,82,62,70,75,99,98,"187cm | 6'1""",30,486,2203,Juventus,Calcio A,Italy
Totti,96,CF,Premium SBC,0,3,5,M \ M,89,97,99,97,35,88,"180cm | 5'10""",168,505,2250,Roma,Calcio A,Italy
Lewandowski,96,ST,FIF,398K,3,4,M \ M,87,96,90,94,53,93,185,10,0,2355,FC Bayern,Bundesliga,Poland
Pelé,95,CF,Legend,0,5,4,H \ L,95,89,89,94,53,73,"174cm | 5'8""",110,493,2301,Legends,Legends,Brazil
Cristiano Ronaldo,95,ST,IF,1.9M,5,4,H \ L,93,93,83,92,35,82,"185cm | 6'0""",59,478,2200,Real Madrid,LaLiga Santander ,Portugal
Iniesta,95,CM,TOTY,390K,4,4,H \ M,80,82,97,97,70,72,"171cm | 5'7""",36,498,2303,FC Barcelona,LaLiga Santander ,Spain
Kroos,95,CM,TOTY,274K,3,5,M \ M,60,90,98,88,80,80,"182cm | 5'11""",56,496,2318,Real Madrid,LaLiga Santander ,Germany
Piqué,95,CB,TOTY,199K,2,3,H \ M,74,75,83,76,95,87,"193cm | 6'3""",7,490,2217,FC Barcelona,LaLiga Santander ,Spain
Neymar,95,LW,CMOTM,550K,5,5,H \ M,94,90,89,98,38,70,"174cm | 5'8""",37,479,2234,FC Barcelona,LaLiga Santander ,Brazil
Messi,95,RW,IF,0,4,4,M \ M,91,93,89,98,33,68,"170cm | 5'6""",56,472,2206,FC Barcelona,LaLiga Santander ,Argentina
Lewandowski,95,ST,FIF,281K,3,4,M \ M,86,94,87,93,50,92,"185cm | 6'0""",37,502,2307,FC Bayern,Bundesliga,Poland
