name,team,era,position,overall,pace,shooting,passing,dribbling,defending,physical,goalkeeping,big_game,nationality,source_label,source_url,source_game,source_notes
Gilmar,Brazil,1950s,GK,92,55,28,68,62,65,78,92,93,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Castilho,Brazil,1950s,GK,87,50,24,58,55,60,74,87,87,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Djalma Santos,Brazil,1950s,RB,94,83,58,82,82,94,86,,95,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Nílton Santos,Brazil,1950s,LB,95,82,65,86,86,95,84,,96,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Hilderaldo Bellini,Brazil,1950s,CB,90,67,45,72,70,91,86,,92,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Orlando Peçanha,Brazil,1950s,CB,90,74,48,74,73,90,85,,91,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Mauro Ramos,Brazil,1950s,CB,89,66,42,70,68,90,84,,90,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Nílton de Sordi,Brazil,1950s,RB,87,76,45,70,72,87,82,,88,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Didi,Brazil,1950s,CM,96,76,87,97,92,74,82,,98,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup Golden Ball and historical reputation reviewed for an EA-style proxy
Zito,Brazil,1950s,CM,91,74,70,84,82,88,86,,93,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Dino Sani,Brazil,1950s,CM,87,72,73,84,82,74,78,,88,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Vavá,Brazil,1950s,ST,93,84,94,76,85,45,87,,96,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup final goals and historical reputation reviewed for an EA-style proxy
Mário Zagallo,Brazil,1950s,LW,90,86,82,86,87,72,82,,92,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and tactical reputation reviewed for an EA-style proxy
Pepe,Brazil,1950s,LW,88,88,88,78,87,42,78,,88,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad and club-era reputation reviewed for an EA-style proxy
José Altafini,Brazil,1950s,ST,89,82,91,73,85,39,80,,89,Brazil,Legacy proxy: Brazil 1958 World Cup squad,https://en.wikipedia.org/wiki/1958_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad and club-era reputation reviewed for an EA-style proxy
Garrincha,Brazil,1960s,RW,96,92,88,90,98,44,76,,98,Brazil,Legacy proxy: Brazil 1962 World Cup squad,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads,Historical proxy rating,World Cup Golden Ball era and historical reputation reviewed for an EA-style proxy
Pelé,Brazil,1960s,CF,99,93,98,93,97,59,84,,99,Brazil,Legacy proxy: Brazil 1970 World Cup squad,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads,Historical proxy rating,World Cup record and historical reputation reviewed for an EA-style proxy
Gilmar,Brazil,1960s,GK,92,55,28,68,62,65,78,92,93,Brazil,Legacy proxy: Brazil 1962 World Cup squad,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Djalma Santos,Brazil,1960s,RB,93,81,57,81,81,93,85,,94,Brazil,Legacy proxy: Brazil 1962 World Cup squad,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Nílton Santos,Brazil,1960s,LB,94,79,63,85,84,94,83,,95,Brazil,Legacy proxy: Brazil 1962 World Cup squad,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Carlos Alberto Torres,Brazil,1960s,RB,92,84,70,85,85,90,86,,94,Brazil,Legacy proxy: Brazil 1970 World Cup squad,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads,Historical proxy rating,World Cup captaincy and final record reviewed for an EA-style proxy
Hilderaldo Bellini,Brazil,1960s,CB,88,64,42,70,68,89,84,,89,Brazil,Legacy proxy: Brazil 1962 World Cup squad,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad record and historical reputation reviewed for an EA-style proxy
Orlando Peçanha,Brazil,1960s,CB,89,72,46,73,72,89,84,,90,Brazil,Legacy proxy: Brazil 1962 World Cup squad,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad record and historical reputation reviewed for an EA-style proxy
Zito,Brazil,1960s,CM,90,72,69,83,80,88,85,,92,Brazil,Legacy proxy: Brazil 1962 World Cup squad,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad/final record and historical reputation reviewed for an EA-style proxy
Didi,Brazil,1960s,CM,94,72,84,96,89,70,78,,95,Brazil,Legacy proxy: Brazil 1962 World Cup squad,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads,Historical proxy rating,World Cup record and historical reputation reviewed for an EA-style proxy
Gérson,Brazil,1960s,CM,93,70,84,95,89,70,77,,95,Brazil,Legacy proxy: Brazil 1970 World Cup squad,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads,Historical proxy rating,World Cup playmaking record and historical reputation reviewed for an EA-style proxy
Clodoaldo,Brazil,1960s,DM,88,74,65,82,82,86,84,,90,Brazil,Legacy proxy: Brazil 1970 World Cup squad,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads,Historical proxy rating,World Cup role and historical reputation reviewed for an EA-style proxy
Jairzinho,Brazil,1960s,RW,91,91,90,80,89,50,84,,93,Brazil,Legacy proxy: Brazil 1970 World Cup squad,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads,Historical proxy rating,World Cup scoring record and historical reputation reviewed for an EA-style proxy
